acct_nbr,acct_nm,level_1,level_2,level_3,level_4
5999-00,Shop Corp Allocation,Total Other Expense:,Operational & Corporate Overhead:,Corporate Allocations-Other:,Corporate Allocations-Other:
5390-00,Amortization-,Total Other Expense:,Amortization of Intangibles:,Amortization of Intangibles:,Amortization of Intangibles:
5390-01,Amortization  of Intangibles,Total Other Expense:,Amortization of Intangibles:,Amortization of Intangibles:,Amortization of Intangibles:
5399-00,Impairment-,Total Other Expense:,Impairments:,Impairments:,Impairments:
4710-00,Gain/Loss on Sale of Rev Equip.1,Total Other Expense:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:
4710-01,Gain/Loss on Sale of AHFS.1,Total Other Expense:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:
4720-00,Gain/loss-Sale of NonRev Equip.1,Total Other Expense:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:
5710-00,Gain/Loss on Sale of Rev Equip.2,Total Other Expense:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:
5710-01,Gain/Loss on Sale of AHFS.2,Total Other Expense:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:
5710-02,Gain/Loss on TRKSale of AHFS,Total Other Expense:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:
5710-03,Equipment Sales Broker Fee,Total Other Expense:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:
5720-00,Gain/loss-Sale of NonRev Equip.2,Total Other Expense:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:
5720-01,Gain/loss-Sale of NonRev AHFS,Total Other Expense:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:
5987-00,Equipment Maintenance Allocation,Total Other Expense:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:,Gain on Disposal of Property and Equipment:
