DIV,LOB,GL_CC,Account Nbr,level_1,level_2,level_3,level_4,CTDESC,2024 - 07,2024 - 08,2024 - 09,2024 - 10,2024 - 11,2024 - 12,2025 - 01,2025 - 02,2025 - 03,2025 - 04,2025 - 05,2025 - 06,2025 - 07,2025 - 08,2025 - 09,10
107,17,67,4511-00,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense,Fuel Expense - Refrigerated,"35,708","36,061","32,758","38,531","30,236","22,598","29,742","28,812","22,530","32,525","34,188","46,970","52,063","52,505","44,700","17,863"
107,17,67,4512-00,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense,Fuel Discounts,"-63,433","-67,319","-59,371","-59,431","-50,075","-58,707","-47,121","-40,632","-45,239","-46,989","-35,576","-39,316","-42,965","-57,698","-58,515","-26,621"
107,17,67,4515-00,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense,Diesel Exhaust Fluid Expense,"8,450","9,950","10,642","10,421","9,308","9,525","9,119","8,833","10,143","9,384","10,835","10,617","11,298","11,472","11,880","5,285"
107,17,67,4515-01,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense,Diesel Exhaust Fluid - Bulk,,,,,,,,,354,,352,456,396,489,439,
107,17,67,4515-02,Total Variable Operating Expense,Fuel Expense,Fuel Expense,Fuel Expense,Diesel Exhaust Fluid-Trk Stop,,,27,,,,,,,,,,,,,
107,17,67,4531-00,Total Variable Operating Expense,Total Equipment Maintenance,Tractor Maint. & Tire Expense,Tractor Maintenance,Tractor Maintenance Expense,"24,339","21,803","17,922","25,801","38,227","22,312","24,748","31,872","27,495","34,965","30,351","50,307","29,300","26,224","43,825","1,007"
107,17,67,4531-01,Total Variable Operating Expense,Total Equipment Maintenance,Tractor Maint. & Tire Expense,Tractor Maintenance,Warranty Credits,"-4,745","-6,565","-3,347","-6,598","-4,078","-4,675","-2,799","-7,130","-6,130","-10,980","-3,772","-11,658","-9,841","-4,740","-7,647",-70
107,17,67,4532-00,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Maintenance,Trailer Maintenance,63,141,127,42,34,129,254,26,0,47,15,62,149,153,162,
107,17,67,4533-00,Total Variable Operating Expense,Total Equipment Maintenance,Trailer Maint. & Tire Expense,Trailer Maintenance,Reefer Maintenance Expense,,,,,,,,,20,,,,,,,
107,17,67,4537-00,Total Variable Operating Expense,Total Equipment Maintenance,Tractor Maint. & Tire Expense,Tractor Maintenance,Tractor Damage Expense,"3,647","2,826","1,512","1,363","3,217","1,457","2,304","1,197","1,467","3,901",-827,942,596,"1,831",367,"1,174"
